Transportation partner,Date,Tons carried,Amount paid
Driver_A,2021-04-01,5509.260099809908,49879.05
Driver_A,2021-05-01,9041.723981129155,95290.65
Driver_A,2021-06-01,5316.286173968545,47086.85
Driver_A,2021-07-01,5176.876252009635,49197.36
Driver_A,2021-08-01,8107.243248366449,94467.16
Driver_A,2021-09-01,9210.489198034285,92782.41
Driver_A,2021-10-01,3837.1597215681118,43591.79
Driver_A,2021-11-01,8325.49534031828,86318.57
Driver_A,2021-12-01,8396.770259681927,92824.52
Driver_A,2022-01-01,6659.129805673958,68282.43
Driver_A,2022-02-01,3177.9338872086664,28559.17
Driver_A,2022-03-01,3220.00429980714,34298.75
Driver_A,2022-04-01,5200.491867534287,56470.62
Driver_A,2022-05-01,9352.96531748265,86266.03
Driver_A,2022-06-01,5872.680461249408,71060.22
Driver_A,2022-07-01,4601.587158441357,39171.6
Driver_A,2022-08-01,5028.260170396376,44473.49
Driver_A,2022-09-01,9507.883566398012,107527.72
Driver_A,2022-10-01,7433.826295572964,89893.87
Driver_A,2022-11-01,8625.704538293801,80166.79
Driver_A,2022-12-01,9247.912989429846,94866.25
Driver_A,2023-01-01,8652.081086148439,108734.3
Driver_A,2023-02-01,5226.024324803047,46351.18
Driver_A,2023-03-01,4595.546137793592,47218.67
Driver_A,2023-04-01,8726.103361457452,104796.46
Driver_A,2023-05-01,3048.664913718335,32004.49
Driver_A,2023-06-01,5921.8770220414535,55903.19
Driver_A,2023-07-01,3839.0575713357794,36592.35
Driver_A,2023-08-01,9600.367927387633,91194.05
Driver_A,2023-09-01,6631.534352203563,78438.15
Driver_A,2023-10-01,5545.407216655058,72700.07
Driver_A,2023-11-01,9737.131064594778,91421.8
Driver_A,2023-12-01,6480.739541246698,61528.38
Driver_A,2024-01-01,4993.883460642273,43575.68
Driver_A,2024-02-01,7266.950337859278,76103.59
Driver_A,2024-03-01,3360.3512587499254,30801.64
Driver_A,2024-04-01,9357.861201766576,85462.07
Driver_A,2024-05-01,4014.2641046385615,43114.08
Driver_A,2024-06-01,9899.553178774204,95222.42
Driver_A,2024-07-01,7704.9488318411495,85609.86
Driver_A,2024-08-01,4663.4628079467975,52236.17
Driver_B,2018-01-01,5574.481929034773,46264.62
Driver_B,2018-02-01,7434.707975326263,62133.19
Driver_B,2018-03-01,3632.028390380858,31762.87
Driver_B,2018-04-01,5245.460454802151,35689.56
Driver_B,2018-05-01,3285.4259908833474,28406.79
Driver_B,2018-06-01,7742.950532895977,48964.46
Driver_B,2018-07-01,6584.651408094967,48226.47
Driver_B,2018-08-01,7516.209532866149,51565.22
Driver_B,2018-09-01,7836.564166717261,58173.24
Driver_B,2018-10-01,9557.109921157142,64488.85
Driver_B,2018-11-01,5387.464457351809,37711.67
Driver_B,2018-12-01,9472.85532794994,91453.14
Driver_B,2019-01-01,4805.591394006089,42784.13
Driver_B,2019-02-01,8720.55540140851,71454.26
Driver_B,2019-03-01,6707.554048492046,49540.19
Driver_B,2019-04-01,3651.7193746412945,33267.52
Driver_B,2019-05-01,9302.926400143313,77724.3
Driver_B,2019-06-01,5373.2085373409045,42519.0
Driver_B,2019-07-01,8081.6897520916755,72165.91
Driver_B,2019-08-01,9209.60496985582,79511.3
Driver_B,2019-09-01,7494.221523080015,49127.58
Driver_B,2019-10-01,4131.400998662297,36962.47
Driver_B,2019-11-01,7245.003417617129,45661.29
Driver_B,2019-12-01,3710.300800062225,32285.01
Driver_B,2020-01-01,3035.431086923531,21084.24
Driver_B,2020-02-01,6841.136525566103,62009.89
Driver_B,2020-03-01,7563.7288165182035,56239.67
Driver_B,2020-04-01,7985.254549432751,56967.31
Driver_B,2020-05-01,5277.797887114873,45835.55
Driver_B,2020-06-01,7547.4302933305025,68836.12
Driver_B,2020-07-01,7603.290246102403,63841.04
Driver_B,2020-08-01,3655.7233747966475,27394.2
Driver_B,2020-09-01,4856.416573772078,35747.25
Driver_B,2020-10-01,9811.07388326712,75382.78
Driver_B,2020-11-01,9244.325886239792,79217.44
Driver_B,2020-12-01,8563.679124791539,68995.81
Driver_B,2021-01-01,7038.327192384513,55671.87
Driver_B,2021-02-01,4366.700914586311,40245.1
Driver_B,2021-03-01,4965.406537085991,33425.69
Driver_B,2021-04-01,7518.3060713501745,51124.6
Driver_B,2021-05-01,9583.2100904704,95098.33
Driver_B,2021-06-01,9404.050731543139,72126.28
Driver_B,2021-07-01,3108.196315702072,30653.49
Driver_B,2021-08-01,5997.289038221201,59374.56
Driver_B,2021-09-01,9745.33983962477,89410.26
Driver_B,2021-10-01,5061.1422444871005,37243.6
Driver_B,2021-11-01,8957.956700617999,65690.63
Driver_B,2021-12-01,4186.449226802648,34825.27
Driver_B,2022-01-01,9553.083419125467,84561.78
Driver_B,2022-02-01,6990.428190625555,46349.16
Driver_B,2022-03-01,7305.050586894188,68217.78
Driver_B,2022-04-01,3980.588106655668,33567.17
Driver_B,2022-05-01,9141.61150349569,85111.08
Driver_B,2022-06-01,7879.1101869668755,69167.47
Driver_B,2022-07-01,5516.438058538286,39648.26
Driver_B,2022-08-01,8665.528088349594,77101.59
Driver_B,2022-09-01,9069.506230060726,81483.72
Driver_B,2022-10-01,6579.396792026564,55535.0
Driver_B,2022-11-01,8588.066252767425,70917.95
Driver_B,2022-12-01,7913.768140803923,72234.72
Driver_B,2023-01-01,9230.037392722963,68339.09
Driver_B,2023-02-01,5629.080668479608,38397.62
Driver_B,2023-03-01,7047.960986973218,47195.77
Driver_B,2023-04-01,6259.186126927221,53264.8
Driver_B,2023-05-01,5005.78876489799,40786.69
Driver_B,2023-06-01,3213.501749573346,20175.17
Driver_B,2023-07-01,8758.203924617608,64542.56
Driver_B,2023-08-01,3889.4235885631933,33056.25
Driver_B,2023-09-01,8389.954871690275,62486.08
Driver_B,2023-10-01,7360.233330733002,50214.3
Driver_B,2023-11-01,3361.772048180254,27849.16
Driver_B,2023-12-01,6784.445851270746,58932.05
Driver_B,2024-01-01,8082.639336058631,75401.42
Driver_B,2024-02-01,6614.102438108367,51843.47
Driver_B,2024-03-01,8566.303363380925,62514.92
Driver_B,2024-04-01,6072.799944939453,40417.75
Driver_B,2024-05-01,3177.4552039082027,30558.19
Driver_B,2024-06-01,8851.86084358544,73818.12
Driver_B,2024-07-01,5862.67061089989,39904.41
Driver_B,2024-08-01,4095.0592986976026,30567.05
Driver_C,2018-01-01,6844.586652942843,64811.45
Driver_C,2018-02-01,7621.381637024119,63902.79
Driver_C,2018-03-01,9684.056964642357,94054.33
Driver_C,2018-04-01,6880.478367579804,64687.1
Driver_C,2018-05-01,5937.20043699453,47550.79
Driver_C,2018-06-01,5491.808750558831,54334.88
Driver_C,2018-07-01,3100.754420408291,24407.05
Driver_C,2018-08-01,3322.0184941522693,24176.47
Driver_C,2018-09-01,8988.224088077051,89044.48
Driver_C,2018-10-01,6319.216803611276,48139.33
Driver_C,2018-11-01,6441.311125817827,58943.89
Driver_C,2018-12-01,4212.413089370106,38949.39
Driver_C,2019-01-01,5789.533140781614,56408.97
Driver_C,2019-02-01,7445.655556073507,53852.76
Driver_C,2019-03-01,5622.288302385299,51219.87
Driver_C,2019-04-01,6521.953810060613,66201.52
Driver_C,2019-05-01,7610.855421332615,60491.38
Driver_C,2019-06-01,3493.981231803009,32099.44
Driver_C,2019-07-01,3185.579173791353,29972.87
Driver_C,2019-08-01,9581.611689974703,90696.04
Driver_C,2019-09-01,5717.189483445653,54097.23
Driver_C,2019-10-01,6207.770233440617,59080.57
Driver_C,2019-11-01,9590.253661435676,80019.5
Driver_C,2019-12-01,9728.3339467674,98511.98
Driver_C,2020-01-01,4370.537943525075,33672.62
Driver_C,2020-02-01,3705.4460096419866,27209.5
Driver_C,2020-03-01,3661.1007252914987,36428.94
Driver_C,2020-04-01,3498.3205392216028,29337.5
Driver_C,2020-05-01,8914.127176786182,63985.92
Driver_C,2020-06-01,8701.27937812255,74579.59
Driver_C,2020-07-01,3827.153793351594,38693.15
Driver_C,2020-08-01,7402.599927459188,79045.41
Driver_C,2020-09-01,8145.4973066272005,81229.19
Driver_C,2020-10-01,4974.242007999145,39781.49
Driver_C,2020-11-01,8254.30326148601,83161.83
Driver_C,2020-12-01,9933.535994004713,83673.82
Driver_C,2021-01-01,5604.126600549482,59000.37
Driver_C,2021-02-01,5385.624781771125,55367.72
Driver_C,2021-03-01,9008.889262901082,83239.76
Driver_C,2021-04-01,8256.097474540482,82334.16
Driver_C,2021-05-01,3721.8670818515284,38084.97
Driver_C,2021-06-01,6536.7666071349995,67534.91
Driver_C,2021-07-01,5240.347207214282,57292.29
Driver_C,2021-08-01,5724.411751139141,42873.1
Driver_C,2021-09-01,9337.673834934845,73261.03
Driver_C,2021-10-01,5235.1954631329045,57110.07
Driver_C,2021-11-01,9654.250028562892,92174.42
Driver_C,2021-12-01,7422.860485188595,68466.06
Driver_C,2022-01-01,5052.475401886451,41754.95
Driver_C,2022-02-01,7707.629192539269,77139.32
Driver_C,2022-03-01,8541.05330608094,84310.85
Driver_C,2022-04-01,3638.4427213408326,34647.43
Driver_C,2022-05-01,3402.91132011651,32982.75
Driver_C,2022-06-01,6090.713509613639,61073.12
Driver_C,2022-07-01,5456.40508786455,42912.68
Driver_C,2022-08-01,4000.941774369851,41927.83
Driver_C,2022-09-01,7327.526443213827,54252.15
Driver_C,2022-10-01,3588.747642804982,35523.06
Driver_C,2022-11-01,3509.3410445493546,37544.62
Driver_C,2022-12-01,7943.695590095474,57378.23
Driver_C,2023-01-01,3593.8639985963437,39842.06
Driver_C,2023-02-01,5619.895570292842,47512.71
Driver_C,2023-03-01,8689.596970802519,97179.42
Driver_C,2023-04-01,9902.007446760097,103917.02
Driver_C,2023-05-01,5633.81709871641,44625.32
Driver_C,2023-06-01,8440.028411492058,78396.87
Driver_C,2023-07-01,5969.554064728834,65439.93
Driver_C,2023-08-01,3778.3823761430594,35463.49
Driver_C,2023-09-01,3079.4755133719336,27171.7
Driver_C,2023-10-01,3394.1229297728614,27038.52
Driver_C,2023-11-01,3822.683727439734,35156.36
Driver_C,2023-12-01,8222.314154857962,78063.57
Driver_C,2024-01-01,9735.207839321793,81885.2
Driver_C,2024-02-01,4999.9846039730255,50228.03
Driver_C,2024-03-01,4565.170869636168,47158.03
Driver_C,2024-04-01,3085.0813228287143,34005.91
Driver_C,2024-05-01,3302.119383654033,34194.71
Driver_C,2024-06-01,6693.907763604098,74566.15
Driver_C,2024-07-01,3516.575953147792,31269.74
Driver_C,2024-08-01,9785.117749333693,88208.47
Driver_D,2018-01-01,7405.790466946838,71295.67
Driver_D,2018-02-01,6181.7874533744125,59458.36
Driver_D,2018-03-01,7090.200183461702,71843.39
Driver_D,2018-04-01,3318.1246623902052,27261.19
Driver_D,2018-05-01,9652.880388535912,103072.4
Driver_D,2018-06-01,6189.597269499991,58356.5
Driver_D,2018-07-01,4941.668280867929,37436.09
Driver_D,2018-08-01,6245.888834579875,49798.87
Driver_D,2018-09-01,7085.592782956104,54306.25
Driver_D,2018-10-01,9820.763653663165,99325.6
Driver_D,2018-11-01,7887.131998138216,73817.8
Driver_D,2018-12-01,5166.693314004295,51863.36
Driver_D,2019-01-01,7793.118207877155,62582.54
Driver_D,2019-02-01,9376.490291456897,96954.18
Driver_D,2019-03-01,9648.599393043467,98208.68
Driver_D,2019-04-01,7293.906371550529,61805.68
Driver_D,2019-05-01,9529.099383478093,99744.71
Driver_D,2019-06-01,3316.530690743326,23671.33
Driver_D,2019-07-01,5635.243568146347,56225.1
Driver_D,2019-08-01,9910.932905204612,76778.62
Driver_D,2019-09-01,7158.915007464946,62895.57
Driver_D,2019-10-01,9789.400784702222,103759.87
Driver_D,2019-11-01,8868.300932977965,79966.04
Driver_D,2019-12-01,5903.736516363657,47349.86
Driver_D,2020-01-01,3394.6284765564897,34319.94
Driver_D,2020-02-01,8690.307063910543,94932.2
Driver_D,2020-03-01,9976.457859517337,88317.28
Driver_D,2020-04-01,8382.911906263573,84390.02
Driver_D,2020-05-01,8947.53173474188,70487.84
Driver_D,2020-06-01,6153.808947170655,45615.56
Driver_D,2020-07-01,9678.357190811057,87895.82
Driver_D,2020-08-01,4600.499638524239,42556.63
Driver_D,2020-09-01,7326.89768320527,58645.97
Driver_D,2020-10-01,3794.903145397403,34324.83
Driver_D,2020-11-01,6642.153906326554,68696.38
Driver_D,2020-12-01,6641.1445077839535,66891.75
Driver_D,2021-01-01,6863.347871421399,61799.19
Driver_D,2021-02-01,9136.575218608416,79516.6
Driver_D,2021-03-01,3938.106599154485,27619.25
Driver_D,2021-04-01,8285.960789715333,80706.92
Driver_D,2021-05-01,7928.558376694565,64199.3
Driver_D,2021-06-01,3954.6003291073885,27175.16
Driver_D,2021-07-01,5454.112911646179,49832.93
Driver_D,2021-08-01,5745.708315698126,51706.46
Driver_D,2021-09-01,9329.11086145624,81392.34
Driver_D,2021-10-01,6597.926424118676,65118.61
Driver_D,2021-11-01,5775.799476248891,54482.55
Driver_D,2021-12-01,9036.545961227217,91653.23
Driver_D,2022-01-01,4029.5143665032656,44008.72
Driver_D,2022-02-01,6444.8140515567675,50381.3
Driver_D,2022-03-01,6213.950293667829,68786.55
Driver_D,2022-04-01,6448.326657950087,54215.28
Driver_D,2022-05-01,7433.80598021708,59874.52
Driver_D,2022-06-01,3531.0432967606475,26773.52
Driver_D,2022-07-01,3896.320872704407,29021.56
Driver_D,2022-08-01,3971.790208545871,36103.91
Driver_D,2022-09-01,4273.160590794014,34658.06
Driver_D,2022-10-01,9277.518869342082,79084.17
Driver_D,2022-11-01,7672.90416964719,60948.04
Driver_D,2022-12-01,4346.023131660695,31077.74
Driver_D,2023-01-01,4182.545441505152,32401.67
Driver_D,2023-02-01,4239.073389937228,32972.93
Driver_D,2023-03-01,3844.4510977042055,34943.25
Driver_D,2023-04-01,4444.336028840547,38975.82
Driver_D,2023-05-01,6523.920895983998,65524.54
Driver_D,2023-06-01,3275.1849788876925,31550.37
Driver_D,2023-07-01,7395.3027264363545,54194.76
Driver_D,2023-08-01,9115.050368747441,97150.51
Driver_D,2023-09-01,3427.5457189840463,28304.42
Driver_D,2023-10-01,8643.40895855143,81572.93
Driver_D,2023-11-01,4291.647135494642,34793.12
Driver_D,2023-12-01,5593.304719539674,48070.29
Driver_D,2024-01-01,7327.783400712072,60042.57
Driver_D,2024-02-01,6237.743012932035,61187.68
Driver_D,2024-03-01,3256.7824202341853,26336.6
Driver_D,2024-04-01,7993.447101191867,82980.98
Driver_D,2024-05-01,6581.742094809662,56860.49
Driver_D,2024-06-01,3750.204079378432,33880.81
Driver_D,2024-07-01,6728.320865185162,52412.27
Driver_D,2024-08-01,4884.702616645667,39776.29
Driver_E,2018-01-01,3140.4983844440844,33170.32
Driver_E,2018-02-01,4480.136048975813,47735.6
Driver_E,2018-03-01,3838.3349227347585,50336.12
Driver_E,2018-04-01,7155.147174878341,86528.07
Driver_E,2018-05-01,8524.198670251368,94694.34
Driver_E,2018-06-01,3608.4420166119658,40287.69
Driver_E,2018-07-01,7107.887826146154,81911.6
Driver_E,2018-08-01,6021.616823607756,55579.65
Driver_E,2018-09-01,4986.431340591072,50934.85
Driver_E,2018-10-01,7521.420689321209,82625.53
Driver_E,2018-11-01,5492.677081284924,73427.02
Driver_E,2018-12-01,7240.42373549821,70893.38
Driver_E,2019-01-01,3712.4773083428263,33527.66
Driver_E,2019-02-01,4721.704098691557,43418.5
Driver_E,2019-03-01,4305.969168359141,43870.53
Driver_E,2019-04-01,4213.6151670632835,51176.33
Driver_E,2019-05-01,3561.6362196314954,40750.11
Driver_E,2019-06-01,5872.777788927631,76648.98
Driver_E,2019-07-01,3784.2723151763666,39652.66
Driver_E,2019-08-01,9786.293032927582,123915.42
Driver_E,2019-09-01,8719.50449664496,88998.88
Driver_E,2019-10-01,4196.213111730461,48283.48
Driver_E,2019-11-01,9505.631923893101,108304.24
Driver_E,2019-12-01,7001.288826289299,70350.16
Driver_E,2020-01-01,8386.450532343559,78434.83
Driver_E,2020-02-01,5265.754654829706,58036.53
Driver_E,2020-03-01,6553.272650791185,66254.1
Driver_E,2020-04-01,3803.857773174425,44167.86
Driver_E,2020-05-01,5020.413872681791,58727.73
Driver_E,2020-06-01,4080.5390069194164,45956.31
Driver_E,2020-07-01,6728.126027861101,61702.26
Driver_E,2020-08-01,5356.229947357444,51742.09
Driver_E,2020-09-01,3443.624793309374,45971.07
Driver_E,2020-10-01,5256.476914823061,65833.41
Driver_E,2020-11-01,4782.484583346347,56815.08
Driver_E,2020-12-01,8321.595019227807,96961.79
Driver_E,2021-01-01,6301.033319851109,64266.66
Driver_E,2021-02-01,5442.077865800968,72461.48
Driver_E,2021-03-01,8814.335854514104,118682.05
Driver_E,2021-04-01,3870.0805643988133,44095.08
Driver_E,2021-05-01,9568.383197747266,94357.39
Driver_E,2021-06-01,3465.4738715674425,40047.64
Driver_E,2021-07-01,7021.311792259383,85922.45
Driver_E,2021-08-01,3978.4066363840266,49876.06
Driver_E,2021-09-01,4411.391240334212,40372.53
Driver_E,2021-10-01,4149.860585516951,52765.65
Driver_E,2021-11-01,7656.380544873401,87388.23
Driver_E,2021-12-01,5511.813388864517,69486.38
Driver_E,2022-01-01,5747.115751958448,67375.4
Driver_E,2022-02-01,6073.9443599915285,61865.99
Driver_E,2022-03-01,6238.758499687245,63598.31
Driver_E,2022-04-01,8233.265661233758,94559.63
Driver_E,2022-05-01,4625.488866027721,59496.3
Driver_E,2022-06-01,5687.23854961248,61815.04
Driver_E,2022-07-01,9345.30477675183,108814.98
Driver_E,2022-08-01,3818.2862849585485,49344.07
Driver_E,2022-09-01,7393.956371499925,77704.05
Driver_E,2022-10-01,3974.904508643711,46714.83
Driver_E,2022-11-01,7340.509291499595,83549.18
Driver_E,2022-12-01,9257.248081356704,113492.47
Driver_E,2023-01-01,4061.7241581292583,43014.29
Driver_E,2023-02-01,4739.42397870126,56038.92
Driver_E,2023-03-01,3234.7270431504558,36879.48
Driver_E,2023-04-01,8337.210800184834,109548.11
Driver_E,2023-05-01,5394.572241011352,63987.53
Driver_E,2023-06-01,3774.4221586864505,49096.49
Driver_E,2023-07-01,3892.420636323877,41623.13
Driver_E,2023-08-01,8581.067560456875,77283.67
Driver_E,2023-09-01,4604.75976662849,53791.67
Driver_E,2023-10-01,8040.255755822521,94912.06
Driver_E,2023-11-01,7857.6391112697,83693.92
Driver_E,2023-12-01,4762.5934123486695,49315.12
Driver_E,2024-01-01,4271.1840176099795,53551.98
Driver_E,2024-02-01,7083.742563362843,75363.09
Driver_E,2024-03-01,6234.040625508929,76791.31
Driver_E,2024-04-01,4073.459821812561,47839.27
Driver_E,2024-05-01,6541.220752191262,78332.77
Driver_E,2024-06-01,3126.7712867458836,41163.31
Driver_E,2024-07-01,9524.827977385286,109644.55
Driver_E,2024-08-01,7876.555767138246,97058.11
